file,sheet,codice_rispondente,col_index,domanda,risposta,etichette
Studenti.xlsx,Risposte del modulo 1,elli9,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",-,
Studenti.xlsx,Risposte del modulo 1,elli9,2,Quali sono i tuoi strumenti preferiti e perché?,-,
Studenti.xlsx,Risposte del modulo 1,elli9,3,In che modo utilizzi l'intelligenza artificiale per personalizzare il tuo studio?,-,
Studenti.xlsx,Risposte del modulo 1,elli9,4,"Puoi darci uno o più esempi di prompt che utilizzi?


Un prompt è un input di testo che viene fornito a un sistema di intelligenza artificiale o a un modello linguistico per ottenere una risposta o un output generato. In altre parole è porre una domanda o dare un'istruzione a un assistente virtuale o a un chatbot.",in maniera discorsiva,Prompt livello 0
Studenti.xlsx,Risposte del modulo 1,elli9,5,In che modo l'intelligenza artificiale ti aiuta a migliorare ad apprendere?,aiutandomi a comprendere meglio come procedere nell'apprendimento,
Studenti.xlsx,Risposte del modulo 1,elli9,6,Puoi fornire esempi specifici di come l'IA ha migliorato il tuo apprendimento?,-,
Studenti.xlsx,Risposte del modulo 1,elli9,9,"In base alla tua esperiezia, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nello studio?",pro: aiuta nell'elaborazione e quindi ad apprendere meglio. Contro: si rischia di utilizzare gli strumenti tecnologici come unica opzione di apprendimento e sostegno,Integrazione/arricchimento|Delega all'ai
Studenti.xlsx,Risposte del modulo 1,elli9,10,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate per lo studio?E perché?",-,
Studenti.xlsx,Risposte del modulo 1,Orgi03,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",-,
Studenti.xlsx,Risposte del modulo 1,Orgi03,2,Quali sono i tuoi strumenti preferiti e perché?,Claude. Riassume molto bene i testi,
Studenti.xlsx,Risposte del modulo 1,Orgi03,3,In che modo utilizzi l'intelligenza artificiale per personalizzare il tuo studio?,Riassumere testi di approfondimento.,
Studenti.xlsx,Risposte del modulo 1,Orgi03,4,"Puoi darci uno o più esempi di prompt che utilizzi?


Un prompt è un input di testo che viene fornito a un sistema di intelligenza artificiale o a un modello linguistico per ottenere una risposta o un output generato. In altre parole è porre una domanda o dare un'istruzione a un assistente virtuale o a un chatbot.",Riassumi il testo di questo articolo senza essere sintetico. Spiega tutti i passaggi in maniera discorsiva,Prompt livello 2|Riassunti
Studenti.xlsx,Risposte del modulo 1,Orgi03,5,In che modo l'intelligenza artificiale ti aiuta a migliorare ad apprendere?,Riesco ad organizzare diverse idee durante il brainstorming,
Studenti.xlsx,Risposte del modulo 1,Orgi03,6,Puoi fornire esempi specifici di come l'IA ha migliorato il tuo apprendimento?,Di solito da solo non faccio brainstorming,
Studenti.xlsx,Risposte del modulo 1,Orgi03,7,Quali difficoltà hai incontrato nell'implementazione di strumenti di IA nella tua pratica di studio?,Quando si lavora con argomenti complessi potrebbe faticare a centrare il focus del discorso,
Studenti.xlsx,Risposte del modulo 1,Orgi03,9,"In base alla tua esperiezia, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nello studio?","Pro: permette di diversificare la routine
Contro: a volte il processo è un po' dispersivo",Creatività|Dispersione
Studenti.xlsx,Risposte del modulo 1,Orgi03,10,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate per lo studio?E perché?",Scrivere testi complessi al posto nostro,
Studenti.xlsx,Risposte del modulo 1,mico26,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",-,
Studenti.xlsx,Risposte del modulo 1,mico26,2,Quali sono i tuoi strumenti preferiti e perché?,Chatgpt,
Studenti.xlsx,Risposte del modulo 1,mico26,3,In che modo utilizzi l'intelligenza artificiale per personalizzare il tuo studio?,Non la uso per 'perzonalizzare' il mio studio,
Studenti.xlsx,Risposte del modulo 1,mico26,4,"Puoi darci uno o più esempi di prompt che utilizzi?


Un prompt è un input di testo che viene fornito a un sistema di intelligenza artificiale o a un modello linguistico per ottenere una risposta o un output generato. In altre parole è porre una domanda o dare un'istruzione a un assistente virtuale o a un chatbot.",Traduci il seguente testo in...,Prompt livello 1|Traduzioni
Studenti.xlsx,Risposte del modulo 1,mico26,5,In che modo l'intelligenza artificiale ti aiuta a migliorare ad apprendere?,"Più che aiutarmi a migliorare il mio apprendimento, mi aiuta a svolgere dei compiti in modo più rapido",
Studenti.xlsx,Risposte del modulo 1,mico26,6,Puoi fornire esempi specifici di come l'IA ha migliorato il tuo apprendimento?,Non lo ha migliorato,
Studenti.xlsx,Risposte del modulo 1,mico26,7,Quali difficoltà hai incontrato nell'implementazione di strumenti di IA nella tua pratica di studio?,Non ho incontrato difficoltà,
Studenti.xlsx,Risposte del modulo 1,mico26,9,"In base alla tua esperiezia, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nello studio?",Uno dei più grandi vantaggi è che è possibile velocizzare dei compiti che richiederebbero tanto tempo. Lo svantaggio è che l'uso della I. A. potrebbe portarci a non sviluppare determinate competenze di studio,Velocizzazione|Sovraiuto
Studenti.xlsx,Risposte del modulo 1,mico26,10,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate per lo studio?E perché?","Non bisognerebbe, per esempio, generare testi, riassumere e tradurre in modo indiscriminato",
Studenti.xlsx,Risposte del modulo 1,Glio26,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)","Preferisco affidarmi alle mie competenze, al mio pensiero e alle mie abilità",
Studenti.xlsx,Risposte del modulo 1,Glio26,8,Puoi spiegare in maniera più dettagliata perché non utilizzi l'IA nello studio?,Perché preferisco in caso di dubbi nello studio rivolgermi a persone reali che forniscono una risposta più contestualizzata e meno generica e impersonale.,
Studenti.xlsx,Risposte del modulo 1,Glio26,9,"In base alla tua esperiezia, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nello studio?","Ritengo che sia utile affidarsi all’intelligenza artificiale sé questa viene adottata con criterio a fini informativi, come se fosse una grande enciclopedia. L’aspetto negativo risiede nell’uso eccessivo che di essa si può fare, quando ad esempio si delega all’IA il proprio lavoro, escludendo a priori un esercizio e abilità personali.",Delega all'ai|Ricerca|Minore esercizio
Studenti.xlsx,Risposte del modulo 1,Glio26,10,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate per lo studio?E perché?","Ad esempio pratiche che richiedono l’inserimento di una propria visione personale, una percezione non solo oggettiva, anche un semplice articolo giornalistico, per quanto dovrebbe attenersi all’impersonalità, fa trapelare sempre un velo di soggettività che obbligatoriamente l’affidamento all’IA escluderebbe.",
Studenti.xlsx,Risposte del modulo 1,orsi10,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)",Non la ritengo una fonte utile per approfondire e apprendere conoscenze,
Studenti.xlsx,Risposte del modulo 1,orsi10,8,Puoi spiegare in maniera più dettagliata perché non utilizzi l'IA nello studio?,"Non ritengo che sia una fonte sicura e utile per avere delle informazioni che possono riguardare lo studio , conoscenze generali",
Studenti.xlsx,Risposte del modulo 1,orsi10,9,"In base alla tua esperiezia, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nello studio?",Pro: facilita le richieste Contro: ci abituiamo a cercare tutto online senza consultare manuali cartacei o altre fonti cartacee,Esclusione fonti tradizionali|Ricerca|Integrazione/arricchimento
Studenti.xlsx,Risposte del modulo 1,orsi10,10,"Secondo la tua esperienza, quali pratiche che utilizzano l'intelligenza artificiale NON sono raccomandate o NON dovrebbero essere usate per lo studio?E perché?",Le pratiche che utilizza l’intelligenza artificiale che non dovrebbero essere usate per lo studio sono le risposte ad esercizi o a quesiti specifici che uno studente domanda.,
Studenti.xlsx,Risposte del modulo 1,Moni30,1,"Se no, puoi spiegare perché non la utilizzi? (Se la utilizzi,  inserisci ""-"".)","""-""",
Studenti.xlsx,Risposte del modulo 1,Moni30,2,Quali sono i tuoi strumenti preferiti e perché?,Chat gpt,
Studenti.xlsx,Risposte del modulo 1,Moni30,3,In che modo utilizzi l'intelligenza artificiale per personalizzare il tuo studio?,Riassunti,
Studenti.xlsx,Risposte del modulo 1,Moni30,4,"Puoi darci uno o più esempi di prompt che utilizzi?


Un prompt è un input di testo che viene fornito a un sistema di intelligenza artificiale o a un modello linguistico per ottenere una risposta o un output generato. In altre parole è porre una domanda o dare un'istruzione a un assistente virtuale o a un chatbot.",Riassumi,Prompt livello 1|Riassunti
Studenti.xlsx,Risposte del modulo 1,Moni30,5,In che modo l'intelligenza artificiale ti aiuta a migliorare ad apprendere?,Riassunti,
Studenti.xlsx,Risposte del modulo 1,Moni30,6,Puoi fornire esempi specifici di come l'IA ha migliorato il tuo apprendimento?,Riassunti,
Studenti.xlsx,Risposte del modulo 1,Moni30,7,Quali difficoltà hai incontrato nell'implementazione di strumenti di IA nella tua pratica di studio?,Nessuno,
Studenti.xlsx,Risposte del modulo 1,Moni30,9,"In base alla tua esperiezia, quali sono i pro e i contro dell'uso dell'intelligenza artificiale nello studio?",Contro facilità pro aiuti,Sovraiuto|Supporto Tecnico
